"Country","Wins"
"Brazil",100
"Spain",100
"France",100
"Germany",99
"Italy",99
"Portugal",91
"Argentina",90
"Belgium",88
"England",87
"Netherlands",79
"Uruguay",76
"Croatia",73
"Colombia",63
"Turkey",53
"Mexico",50
"Denmark",50
"Switzerland",46
"Senegal",40
"Morocco",39
"Cote d'Ivoire",38
"Poland",34
"Chile",33
"Nigeria",22
"Japan",18
"USA",12
"Algeria",9
"Korea Republic",5
"Australia",3
"China PR",2
"Saudi Arabia",1
"Canada",0
"Qatar",0
